yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
32,20,40,39,40,44,47,38,39,43
185,103,80,150,205,213,221,81,195,212
348,345,172,267,399,409,422,352,382,411
573,489,595,582,589,602,618,562,568,606
744,680,768,751,752,771,789,725,733,777
877,780,902,883,875,904,923,852,861,909
962,948,986,970,968,989,1008,818,859,997
991,977,1014,998,989,1020,1038,971,566,1024
83,950,984,970,957,994,1010,947,817,993
533,778,903,890,886,911,926,868,538,909
687,622,770,761,748,781,793,744,348,685
591,332,602,594,575,611,623,582,365,443
399,255,412,404,384,418,428,397,380,308
205,136,144,210,194,220,227,142,197,160
43,25,50,46,38,49,52,30,43,34
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
