Year,Month,Day,Hour,Minute,GHI,Temperature
2013,1,1,0,30,0,-16
2013,1,1,1,30,0,-17
2013,1,1,2,30,0,-17
2013,1,1,3,30,0,-17
2013,1,1,4,30,0,-17
2013,1,1,5,30,0,-17
2013,1,1,6,30,0,-17
2013,1,1,7,30,0,-17
2013,1,1,8,30,13,-16
2013,1,1,9,30,79,-14
2013,1,1,10,30,181,-12
2013,1,1,11,30,455,-10
2013,1,1,12,30,325,-8
2013,1,1,13,30,135,-8
2013,1,1,14,30,367,-8
2013,1,1,15,30,232,-8
2013,1,1,16,30,75,-9
2013,1,1,17,30,0,-10
2013,1,1,18,30,0,-12
2013,1,1,19,30,0,-13
2013,1,1,20,30,0,-14
2013,1,1,21,30,0,-15
2013,1,1,22,30,0,-15
2013,1,1,23,30,0,-16
2013,1,2,0,30,0,-16
2013,1,2,1,30,0,-17
2013,1,2,2,30,0,-17
2013,1,2,3,30,0,-17
2013,1,2,4,30,0,-16
2013,1,2,5,30,0,-16
2013,1,2,6,30,0,-16
2013,1,2,7,30,0,-15
2013,1,2,8,30,70,-14
2013,1,2,9,30,230,-13
2013,1,2,10,30,368,-11
2013,1,2,11,30,461,-9
2013,1,2,12,30,496,-9
2013,1,2,13,30,469,-8
2013,1,2,14,30,381,-8
2013,1,2,15,30,79,-9
2013,1,2,16,30,82,-10
2013,1,2,17,30,0,-11
2013,1,2,18,30,0,-12
2013,1,2,19,30,0,-14
2013,1,2,20,30,0,-15
2013,1,2,21,30,0,-16
2013,1,2,22,30,0,-17
2013,1,2,23,30,0,-18
2013,1,3,0,30,0,-18
2013,1,3,1,30,0,-18
2013,1,3,2,30,0,-18
2013,1,3,3,30,0,-18
2013,1,3,4,30,0,-17
2013,1,3,5,30,0,-17
2013,1,3,6,30,0,-17
2013,1,3,7,30,0,-17
2013,1,3,8,30,75,-16
2013,1,3,9,30,238,-14
2013,1,3,10,30,377,-12
2013,1,3,11,30,468,-10
2013,1,3,12,30,500,-8
2013,1,3,13,30,471,-8
2013,1,3,14,30,383,-8
2013,1,3,15,30,248,-8
2013,1,3,16,30,86,-10
2013,1,3,17,30,0,-11
2013,1,3,18,30,0,-12
2013,1,3,19,30,0,-13
2013,1,3,20,30,0,-14
2013,1,3,21,30,0,-14
2013,1,3,22,30,0,-15
2013,1,3,23,30,0,-15
2013,1,4,0,30,0,-15
2013,1,4,1,30,0,-15
2013,1,4,2,30,0,-15
2013,1,4,3,30,0,-15
2013,1,4,4,30,0,-15
2013,1,4,5,30,0,-16
2013,1,4,6,30,0,-15
2013,1,4,7,30,0,-15
2013,1,4,8,30,74,-14
2013,1,4,9,30,238,-13
2013,1,4,10,30,379,-11
2013,1,4,11,30,472,-10
2013,1,4,12,30,506,-9
2013,1,4,13,30,478,-9
2013,1,4,14,30,390,-9
2013,1,4,15,30,252,-10
2013,1,4,16,30,88,-11
2013,1,4,17,30,0,-13
2013,1,4,18,30,0,-14
2013,1,4,19,30,0,-15
2013,1,4,20,30,0,-15
2013,1,4,21,30,0,-15
2013,1,4,22,30,0,-15
2013,1,4,23,30,0,-16
2013,1,5,0,30,0,-16
2013,1,5,1,30,0,-17
2013,1,5,2,30,0,-17
2013,1,5,3,30,0,-17
2013,1,5,4,30,0,-17
2013,1,5,5,30,0,-17
2013,1,5,6,30,0,-17
2013,1,5,7,30,0,-16
2013,1,5,8,30,73,-15
2013,1,5,9,30,236,-13
2013,1,5,10,30,377,-11
2013,1,5,11,30,469,-9
2013,1,5,12,30,503,-7
