yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017
19,18,18,15,17,20,11,22,18,14
18,18,17,15,16,19,11,20,17,14
18,18,16,14,16,18,10,20,16,14
18,18,16,14,15,18,9,20,16,13
19,18,16,14,15,18,9,21,16,13
20,19,18,15,17,20,12,21,17,14
22,21,21,17,21,23,15,23,19,18
25,22,24,19,25,27,19,26,22,21
28,23,26,21,28,31,22,28,24,24
30,25,27,22,29,32,25,30,25,26
31,26,28,23,30,33,26,31,26,27
32,26,29,24,31,34,27,31,26,28
32,27,30,24,32,35,28,32,26,29
32,27,30,25,32,35,29,32,26,30
32,27,31,25,32,35,29,32,26,30
32,27,30,25,32,35,28,32,26,29
31,26,29,24,31,34,27,31,25,28
30,25,28,23,30,33,26,30,24,27
28,24,25,21,27,29,23,28,23,24
24,22,21,19,25,25,21,26,22,22
22,21,19,17,23,23,19,26,22,20
21,20,18,16,21,23,18,25,21,20
20,20,18,16,21,22,17,24,19,20
19,19,17,16,20,21,16,23,18,19
