Year,Month,Day,Hour,Minute,GHI,Temperature
2014,1,1,0,30,0,-2
2014,1,1,1,30,0,-3
2014,1,1,2,30,0,-3
2014,1,1,3,30,0,-4
2014,1,1,4,30,0,-4
2014,1,1,5,30,0,-4
2014,1,1,6,30,0,-5
2014,1,1,7,30,0,-5
2014,1,1,8,30,72,-4
2014,1,1,9,30,230,-2
2014,1,1,10,30,366,0
2014,1,1,11,30,456,0
2014,1,1,12,30,487,1
2014,1,1,13,30,458,1
2014,1,1,14,30,372,1
2014,1,1,15,30,238,0
2014,1,1,16,30,79,0
2014,1,1,17,30,0,-1
2014,1,1,18,30,0,-2
2014,1,1,19,30,0,-3
2014,1,1,20,30,0,-4
2014,1,1,21,30,0,-4
2014,1,1,22,30,0,-4
2014,1,1,23,30,0,-4
2014,1,2,0,30,0,-5
2014,1,2,1,30,0,-5
2014,1,2,2,30,0,-5
2014,1,2,3,30,0,-5
2014,1,2,4,30,0,-5
2014,1,2,5,30,0,-4
2014,1,2,6,30,0,-4
2014,1,2,7,30,0,-4
2014,1,2,8,30,69,-3
2014,1,2,9,30,226,-1
2014,1,2,10,30,360,1
2014,1,2,11,30,447,2
2014,1,2,12,30,479,3
2014,1,2,13,30,451,3
2014,1,2,14,30,366,3
2014,1,2,15,30,234,2
2014,1,2,16,30,78,1
2014,1,2,17,30,0,0
2014,1,2,18,30,0,0
2014,1,2,19,30,0,-1
2014,1,2,20,30,0,-2
2014,1,2,21,30,0,-3
2014,1,2,22,30,0,-3
2014,1,2,23,30,0,-3
2014,1,3,0,30,0,-3
2014,1,3,1,30,0,-3
2014,1,3,2,30,0,-4
2014,1,3,3,30,0,-4
2014,1,3,4,30,0,-5
2014,1,3,5,30,0,-5
2014,1,3,6,30,0,-5
2014,1,3,7,30,0,-4
2014,1,3,8,30,34,-2
2014,1,3,9,30,44,0
2014,1,3,10,30,243,1
2014,1,3,11,30,176,2
2014,1,3,12,30,367,3
2014,1,3,13,30,309,3
2014,1,3,14,30,83,3
2014,1,3,15,30,52,2
2014,1,3,16,30,24,1
2014,1,3,17,30,0,0
2014,1,3,18,30,0,0
2014,1,3,19,30,0,0
2014,1,3,20,30,0,-1
2014,1,3,21,30,0,-2
2014,1,3,22,30,0,-2
2014,1,3,23,30,0,-3
2014,1,4,0,30,0,-4
2014,1,4,1,30,0,-5
2014,1,4,2,30,0,-6
2014,1,4,3,30,0,-7
2014,1,4,4,30,0,-8
2014,1,4,5,30,0,-9
2014,1,4,6,30,0,-9
2014,1,4,7,30,0,-9
2014,1,4,8,30,73,-8
2014,1,4,9,30,236,-6
2014,1,4,10,30,197,-4
2014,1,4,11,30,256,-3
2014,1,4,12,30,503,-3
2014,1,4,13,30,475,-3
2014,1,4,14,30,221,-3
2014,1,4,15,30,186,-4
2014,1,4,16,30,87,-6
2014,1,4,17,30,0,-7
2014,1,4,18,30,0,-7
2014,1,4,19,30,0,-8
2014,1,4,20,30,0,-8
2014,1,4,21,30,0,-9
2014,1,4,22,30,0,-10
2014,1,4,23,30,0,-11
2014,1,5,0,30,0,-12
2014,1,5,1,30,0,-13
2014,1,5,2,30,0,-13
2014,1,5,3,30,0,-13
2014,1,5,4,30,0,-13
2014,1,5,5,30,0,-13
2014,1,5,6,30,0,-13
2014,1,5,7,30,0,-12
2014,1,5,8,30,76,-11
2014,1,5,9,30,240,-9
2014,1,5,10,30,381,-7
2014,1,5,11,30,473,-5
2014,1,5,12,30,507,-4
2014,1,5,13,30,480,-4
2014,1,5,14,30,393,-4
2014,1,5,15,30,257,-5
2014,1,5,16,30,92,-6
2014,1,5,17,30,0,-7
2014,1,5,18,30,0,-8
2014,1,5,19,30,0,-8
2014,1,5,20,30,0,-9
2014,1,5,21,30,0,-9
2014,1,5,22,30,0,-10
2014,1,5,23,30,0,-10
2014,1,6,0,30,0,-10
2014,1,6,1,30,0,-11
2014,1,6,2,30,0,-11
2014,1,6,3,30,0,-11
2014,1,6,4,30,0,-11
2014,1,6,5,30,0,-11
2014,1,6,6,30,0,-11
2014,1,6,7,30,0,-11
2014,1,6,8,30,72,-9
2014,1,6,9,30,233,-6
2014,1,6,10,30,372,-3
2014,1,6,11,30,464,-1
2014,1,6,12,30,498,0
2014,1,6,13,30,471,0
2014,1,6,14,30,386,0
2014,1,6,15,30,252,0
2014,1,6,16,30,92,-1
2014,1,6,17,30,0,-2
2014,1,6,18,30,0,-4
2014,1,6,19,30,0,-5
2014,1,6,20,30,0,-6
2014,1,6,21,30,0,-6
2014,1,6,22,30,0,-6
2014,1,6,23,30,0,-5
2014,1,7,0,30,0,-5
2014,1,7,1,30,0,-5
2014,1,7,2,30,0,-5
2014,1,7,3,30,0,-5
2014,1,7,4,30,0,-5
2014,1,7,5,30,0,-5
2014,1,7,6,30,0,-5
2014,1,7,7,30,0,-5
2014,1,7,8,30,30,-3
2014,1,7,9,30,111,-1
2014,1,7,10,30,86,0
2014,1,7,11,30,294,0
2014,1,7,12,30,352,1
2014,1,7,13,30,307,1
2014,1,7,14,30,200,0
2014,1,7,15,30,77,0
2014,1,7,16,30,26,-1
2014,1,7,17,30,0,-2
2014,1,7,18,30,0,-2
