Year,Month,Day,Hour,DNI
2016,1,1,0,0
2016,1,1,1,0
2016,1,1,2,0
2016,1,1,3,0
2016,1,1,4,0
2016,1,1,5,0
2016,1,1,6,0
2016,1,1,7,0
2016,1,1,8,589
2016,1,1,9,843
2016,1,1,10,943
2016,1,1,11,985
2016,1,1,12,994
2016,1,1,13,379
2016,1,1,14,928
2016,1,1,15,825
2016,1,1,16,573
2016,1,1,17,0
2016,1,1,18,0
2016,1,1,19,0
2016,1,1,20,0
2016,1,1,21,0
2016,1,1,22,0
2016,1,1,23,0
2016,1,2,0,0
2016,1,2,1,0
2016,1,2,2,0
2016,1,2,3,0
2016,1,2,4,0
2016,1,2,5,0
2016,1,2,6,0
2016,1,2,7,0
2016,1,2,8,172
2016,1,2,9,298
2016,1,2,10,354
2016,1,2,11,719
2016,1,2,12,469
2016,1,2,13,74
2016,1,2,14,409
2016,1,2,15,342
2016,1,2,16,204
2016,1,2,17,0
2016,1,2,18,0
2016,1,2,19,0
2016,1,2,20,0
2016,1,2,21,0
2016,1,2,22,0
2016,1,2,23,0
2016,1,3,0,0
2016,1,3,1,0
2016,1,3,2,0
2016,1,3,3,0
2016,1,3,4,0
2016,1,3,5,0
2016,1,3,6,0
2016,1,3,7,0
2016,1,3,8,265
2016,1,3,9,465
2016,1,3,10,568
2016,1,3,11,183
2016,1,3,12,444
2016,1,3,13,64
2016,1,3,14,106
2016,1,3,15,79
2016,1,3,16,33
2016,1,3,17,0
2016,1,3,18,0
2016,1,3,19,0
2016,1,3,20,0
2016,1,3,21,0
2016,1,3,22,0
2016,1,3,23,0
2016,1,4,0,0
2016,1,4,1,0
2016,1,4,2,0
2016,1,4,3,0
2016,1,4,4,0
2016,1,4,5,0
2016,1,4,6,0
2016,1,4,7,0
2016,1,4,8,0
2016,1,4,9,0
2016,1,4,10,0
2016,1,4,11,27
2016,1,4,12,68
2016,1,4,13,160
2016,1,4,14,97
2016,1,4,15,73
2016,1,4,16,29
2016,1,4,17,0
2016,1,4,18,0
2016,1,4,19,0
2016,1,4,20,0
2016,1,4,21,0
2016,1,4,22,0
2016,1,4,23,0
2016,1,5,0,0
2016,1,5,1,0
2016,1,5,2,0
2016,1,5,3,0
2016,1,5,4,0
2016,1,5,5,0
2016,1,5,6,0
2016,1,5,7,0
2016,1,5,8,37
2016,1,5,9,92
2016,1,5,10,124
2016,1,5,11,314
2016,1,5,12,467
