,0,A8,,,,,,,,,
,Base,4 EV ,,,,,,,,,
0,0.0000,0.0000,,,,,,,,,
1,0.0009,0.0023,,,,,,,,,
2,0.0008,0.0033,,,,,,,,,
3,0.0007,0.0033,,,,,,,,,
4,0.0007,0.0032,,,,,,,,,
5,0.0008,0.0034,,,,,,,,,
6,0.0011,0.0040,,,,,,,,,
7,0.0015,0.0054,,,,,,,,,
8,0.0022,0.0082,,,,,,,,,
9,0.0029,0.0121,,,,,,,,,
10,0.0036,0.0151,,,,,,,,,
11,0.0045,0.0219,,,,,,,,,
12,0.0063,0.0339,,,,,,,,,
13,0.0083,0.0548,,,,,,,,,
14,0.0110,0.0858,,,,,,,,,
15,0.0138,0.1479,,,,,,,,,
16,0.0154,0.2516,,,,,,,,,
17,0.0190,0.5908,,,,,,,,,
18,0.0188,1.3366,,,,,,,,,
19,0.0169,2.7139,,,,,,,,,
20,0.0165,5.0092,,,,,,,,,
21,0.0155,7.9077,,,,,,,,,
22,0.0134,11.1201,,,,,,,,,
23,0.0101,9.3659,,,,,,,,,
Tot F_aa,0.1847,38.7005,,,,,,,,,
F_eqa,0.0077,1.6125,,,,,,,,,
LOL%,0.01%,2.15%,,,,,,,,,
EffAge,99.99%,97.85%,,,,,,,,,
Loss of Hours,18.47,3870.05,,,,,,,,,
Loss of Days,0.77,161.25,,,,,,,,,
,,,,,,,,Loss of Life,,,
,,,,,,,F_eqa,%,Days,,
,179981.5252,176129.9506,0,0,,Base,0.0077,0.01%,0.77,,
,18.4747791,3870.049402,180000,180000,,EV,1.6125,2.15%,161.25,,
,0.769782463,161.2520584,7500,7500,,EV+PV,0.0000,0.00%,0.00,,
,,,,,,Stochastic,0.0000,0.00%,0.00,,
